EQPT_ID
B5A_6365_01
B5A_6365_02
B5A_6412_02
B5A_6500_91_01
B5A_6850_01
B5A_6850_02
B5A_6930_01
B5_6869_02
B5A_6905_01
B5A_6905_02
B5A_6905_03
B5A_6910_01
B5A_6910_02
B5A_6920_01
B5A_6920_02
B5A_6920_03
B5A_6950_01
B5A_6955_01
B5A_6540_02
B5A_6540_03
B5A_6525_01
B5A_6525_02
B5A_6790_01
B5A_6790_02
B5A_6360_02
B5A_6401_01
B5A_6411_01
B5A_6500_01
B5A_6500_02
B5A_6500_03
B5A_6530_01
B5A_6530_02
B5A_6530_03
B5A_6412_01
B5A_6520_01
B5A_6520_02
B5A_6520_03
B5A_6540_01
B5A_6450_01
B5A_6450_02
B5A_6450_03
B5A_6450_91_01
B5A_6450_92_01
B5A_6580_01
B5A_6580_02
B5A_6450_92_02
B5A_6570_01
B5A_6570_02
B5A_6570_03
B5A_6360_03
B5A_6370_01
B5A_6370_02
B5A_6370_03
B5A_6370_04
B5A_6416_01
B5A_6450_93_01
B5A_6780_01
B5A_6818_01
B5A_6818_02
B5_6416_02
B5A_6815_01
B5A_6815_02
B5A_6815_03
B5A_6841_01
B5A_6841_02
B5A_6841_03
B5A_6841_04
